## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D0_repl_2_LSD1i_S38_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D0_repl_2_LSD1i_S38_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D0_repl_2_LSD1i_S38_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 05:11:07 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1620	49046935	17049151	0	1099	27286025	567457	0.556327	25624727

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
538.0	0	5	0	6
539.0	0	7	0	9
540.0	0	8	0	4
541.0	0	6	0	5
542.0	0	10	0	7
543.0	0	5	0	6
544.0	0	5	0	6
545.0	0	8	0	4
546.0	0	8	0	7
547.0	0	5	0	8
548.0	0	6	0	2
549.0	0	6	0	7
550.0	0	5	0	2
551.0	0	8	0	11
552.0	0	3	0	5
553.0	0	7	0	14
554.0	0	3	0	4
555.0	0	9	0	7
556.0	0	7	0	1
557.0	0	8	0	6
558.0	0	5	0	5
559.0	0	2	0	3
560.0	0	12	0	8
561.0	0	6	0	5
562.0	0	5	0	4
563.0	0	4	0	10
564.0	0	4	0	7
565.0	0	5	0	7
566.0	0	9	0	5
567.0	0	4	0	6
568.0	0	3	0	7
569.0	0	6	0	12
570.0	0	7	0	8
571.0	0	6	0	8
572.0	0	7	0	10
573.0	0	10	0	6
574.0	0	9	0	4
575.0	0	9	0	5
576.0	0	2	0	9
577.0	0	9	0	4
578.0	0	6	0	2
579.0	0	9	0	3
580.0	0	6	0	3
581.0	0	9	0	4
582.0	0	3	0	2
583.0	0	6	0	8
584.0	0	3	0	5
585.0	0	5	0	6
586.0	0	7	0	8
587.0	0	4	0	5
588.0	0	3	0	5
589.0	0	5	0	3
590.0	0	6	0	6
591.0	0	2	0	4
592.0	0	5	0	4
593.0	0	4	0	3
594.0	0	6	0	7
595.0	0	6	0	7
596.0	0	5	0	6
597.0	0	4	0	7
598.0	0	1	0	3
599.0	0	10	0	3
600.0	0	9	0	5
601.0	0	3	0	1
602.0	0	7	0	6
603.0	0	4	0	10
604.0	0	5	0	6
605.0	0	1	0	6
606.0	0	8	0	5
607.0	0	5	0	4
608.0	0	0	0	8
609.0	0	8	0	4
610.0	0	6	0	4
611.0	0	5	0	2
612.0	0	3	0	8
613.0	0	6	0	7
614.0	0	6	0	3
615.0	0	4	0	1
616.0	0	10	0	3
617.0	0	1	0	3
618.0	0	6	0	4
619.0	0	3	0	4
620.0	0	5	0	2
621.0	0	5	0	3
622.0	0	1	0	1
623.0	0	5	0	5
624.0	0	3	0	4
625.0	0	4	0	4
626.0	0	2	0	1
627.0	0	5	0	1
628.0	0	1	0	3
629.0	0	1	0	5
630.0	0	3	0	6
631.0	0	6	0	3
632.0	0	2	0	4
633.0	0	1	0	9
634.0	0	1	0	5
635.0	0	5	0	4
636.0	0	7	0	7
637.0	0	7	0	4
638.0	0	4	0	4
639.0	0	4	0	6
640.0	0	4	0	7
641.0	0	3	0	5
642.0	0	3	0	6
643.0	0	10	0	6
644.0	0	7	0	3
645.0	0	6	0	3
646.0	0	5	0	6
647.0	0	4	0	0
648.0	0	4	0	5
649.0	0	3	0	3
650.0	0	0	0	1
651.0	0	6	0	4
652.0	0	6	0	7
653.0	0	6	0	4
654.0	0	6	0	1
655.0	0	3	0	3
656.0	0	3	0	0
657.0	0	5	0	6
658.0	0	1	0	4
659.0	0	3	0	4
660.0	0	2	0	4
661.0	0	3	0	6
662.0	0	4	0	3
663.0	0	7	0	4
664.0	0	3	0	5
665.0	0	2	0	3
666.0	0	0	0	2
667.0	0	4	0	4
668.0	0	6	0	2
669.0	0	3	0	5
670.0	0	6	0	3
671.0	0	7	0	1
672.0	0	0	0	5
673.0	0	9	0	4
674.0	0	2	0	3
675.0	0	2	0	5
676.0	0	3	0	3
677.0	0	3	0	9
678.0	0	5	0	2
679.0	0	3	0	4
680.0	0	2	0	2
681.0	0	0	0	4
682.0	0	5	0	4
683.0	0	3	0	1
684.0	0	2	0	4
685.0	0	2	0	5
686.0	0	7	0	3
687.0	0	7	0	1
688.0	0	5	0	3
689.0	0	3	0	2
690.0	0	6	0	1
691.0	0	3	0	2
692.0	0	2	0	3
693.0	0	3	0	8
694.0	0	2	0	3
695.0	0	3	0	4
696.0	0	4	0	4
697.0	0	0	0	2
698.0	0	1	0	4
699.0	0	1	0	2
700.0	0	2	0	2
701.0	0	2	0	2
702.0	0	10	0	5
703.0	0	4	0	2
704.0	0	3	0	6
705.0	0	2	0	2
706.0	0	2	0	1
707.0	0	7	0	5
708.0	0	2	0	3
709.0	0	1	0	2
710.0	0	2	0	3
711.0	0	1	0	3
712.0	0	0	0	3
713.0	0	6	0	1
714.0	0	3	0	4
715.0	0	1	0	1
716.0	0	3	0	1
717.0	0	4	0	3
718.0	0	2	0	2
719.0	0	6	0	5
720.0	0	5	0	7
721.0	0	6	0	2
722.0	0	3	0	1
723.0	0	1	0	1
724.0	0	2	0	2
725.0	0	1	0	2
726.0	0	4	0	1
727.0	0	0	0	2
728.0	0	0	0	3
