## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D0_repl_2_HDACi_S37_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D0_repl_2_HDACi_S37_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D0_repl_2_HDACi_S37_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 03:58:48 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1116	44653298	16857969	0	742	25488800	504344	0.570817	22205262

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
229.0	0	85	0	73
230.0	0	85	0	67
231.0	0	78	0	72
232.0	0	81	0	60
233.0	0	68	0	69
234.0	0	72	0	71
235.0	0	71	0	90
236.0	0	70	0	48
237.0	0	58	0	60
238.0	0	70	0	62
239.0	0	70	0	78
240.0	0	60	0	55
241.0	0	61	0	61
242.0	0	58	0	76
243.0	0	69	0	68
244.0	0	48	0	76
245.0	0	83	0	77
246.0	0	68	0	63
247.0	0	68	0	61
248.0	0	67	0	51
249.0	0	64	0	74
250.0	0	61	0	56
251.0	0	62	0	55
252.0	0	62	0	77
253.0	0	66	0	68
254.0	0	64	0	57
255.0	0	61	0	60
256.0	0	60	0	62
257.0	0	64	0	63
258.0	0	71	0	61
259.0	0	56	0	62
260.0	0	60	0	62
261.0	0	63	0	56
262.0	0	58	0	56
263.0	0	62	0	57
264.0	0	50	0	56
265.0	0	53	0	67
266.0	0	63	0	46
267.0	0	60	0	61
268.0	0	43	0	52
269.0	0	66	0	52
270.0	0	59	0	46
271.0	0	43	0	46
272.0	0	56	0	36
273.0	0	47	0	47
274.0	0	38	0	52
275.0	0	38	0	56
276.0	0	46	0	51
277.0	0	54	0	41
278.0	0	61	0	49
279.0	0	47	0	45
280.0	0	49	0	42
281.0	0	44	0	49
282.0	0	45	0	33
283.0	0	37	0	47
284.0	0	43	0	34
285.0	0	48	0	41
286.0	0	40	0	44
287.0	0	38	0	42
288.0	0	36	0	50
289.0	0	50	0	41
290.0	0	44	0	38
291.0	0	38	0	48
292.0	0	49	0	46
293.0	0	42	0	43
294.0	0	48	0	40
295.0	0	38	0	50
296.0	0	41	0	41
297.0	0	38	0	28
298.0	0	45	0	45
299.0	0	39	0	37
300.0	0	31	0	34
301.0	0	38	0	39
302.0	0	35	0	45
303.0	0	48	0	34
304.0	0	45	0	33
305.0	0	30	0	30
306.0	0	39	0	34
307.0	0	38	0	34
308.0	0	30	0	37
309.0	0	27	0	39
310.0	0	42	0	39
311.0	0	35	0	33
312.0	0	38	0	42
313.0	0	39	0	41
314.0	0	38	0	43
315.0	0	41	0	35
316.0	0	33	0	29
317.0	0	41	0	33
318.0	0	41	0	37
319.0	0	38	0	32
320.0	0	34	0	30
321.0	0	21	0	32
322.0	0	30	0	46
323.0	0	34	0	37
324.0	0	28	0	38
325.0	0	36	0	32
326.0	0	39	0	27
327.0	0	36	0	38
328.0	0	32	0	39
329.0	0	44	0	35
330.0	0	26	0	41
331.0	0	32	0	28
332.0	0	36	0	35
333.0	0	38	0	18
334.0	0	35	0	17
335.0	0	30	0	25
336.0	0	29	0	35
337.0	0	23	0	28
338.0	0	21	0	32
339.0	0	28	0	25
340.0	0	30	0	28
341.0	0	22	0	30
342.0	0	24	0	28
343.0	0	38	0	34
344.0	0	24	0	33
345.0	0	33	0	29
346.0	0	28	0	30
347.0	0	32	0	42
348.0	0	27	0	28
349.0	0	37	0	27
350.0	0	33	0	27
351.0	0	29	0	31
352.0	0	28	0	24
353.0	0	36	0	22
354.0	0	29	0	30
355.0	0	19	0	29
356.0	0	28	0	33
357.0	0	31	0	22
358.0	0	24	0	28
359.0	0	32	0	35
360.0	0	28	0	23
361.0	0	22	0	28
362.0	0	35	0	19
363.0	0	31	0	22
364.0	0	22	0	19
365.0	0	24	0	30
366.0	0	16	0	19
367.0	0	29	0	22
368.0	0	24	0	22
369.0	0	20	0	24
370.0	0	20	0	21
371.0	0	27	0	16
372.0	0	19	0	26
373.0	0	29	0	26
374.0	0	22	0	30
375.0	0	11	0	23
376.0	0	23	0	21
377.0	0	27	0	22
378.0	0	28	0	15
379.0	0	20	0	23
380.0	0	20	0	27
381.0	0	29	0	16
382.0	0	20	0	19
383.0	0	18	0	17
384.0	0	20	0	19
385.0	0	20	0	21
386.0	0	11	0	32
387.0	0	23	0	17
388.0	0	13	0	15
389.0	0	20	0	20
390.0	0	26	0	17
391.0	0	23	0	11
392.0	0	14	0	13
393.0	0	16	0	21
394.0	0	19	0	24
395.0	0	20	0	25
396.0	0	22	0	16
397.0	0	17	0	24
398.0	0	13	0	22
399.0	0	19	0	15
400.0	0	28	0	23
401.0	0	26	0	10
402.0	0	16	0	22
403.0	0	17	0	18
404.0	0	20	0	17
405.0	0	16	0	23
406.0	0	24	0	13
407.0	0	15	0	14
408.0	0	11	0	14
409.0	0	18	0	11
410.0	0	19	0	15
411.0	0	23	0	19
412.0	0	12	0	20
413.0	0	13	0	18
414.0	0	22	0	12
415.0	0	12	0	11
416.0	0	13	0	11
417.0	0	20	0	10
418.0	0	12	0	14
419.0	0	10	0	15
420.0	0	10	0	25
421.0	0	20	0	21
422.0	0	6	0	15
423.0	0	10	0	20
424.0	0	23	0	15
425.0	0	17	0	15
426.0	0	18	0	17
427.0	0	21	0	19
428.0	0	11	0	17
429.0	0	16	0	18
430.0	0	20	0	20
431.0	0	19	0	12
432.0	0	12	0	15
433.0	0	15	0	14
434.0	0	16	0	16
435.0	0	14	0	18
436.0	0	13	0	16
437.0	0	18	0	15
438.0	0	14	0	15
439.0	0	19	0	14
440.0	0	24	0	15
441.0	0	19	0	8
442.0	0	13	0	16
443.0	0	11	0	16
444.0	0	13	0	16
445.0	0	11	0	13
446.0	0	14	0	19
447.0	0	20	0	18
448.0	0	13	0	11
449.0	0	15	0	12
450.0	0	17	0	10
451.0	0	18	0	15
452.0	0	10	0	9
453.0	0	13	0	13
454.0	0	12	0	21
455.0	0	9	0	17
456.0	0	12	0	8
457.0	0	18	0	11
458.0	0	15	0	10
459.0	0	20	0	15
460.0	0	16	0	13
461.0	0	13	0	15
462.0	0	8	0	14
463.0	0	9	0	12
464.0	0	13	0	13
465.0	0	17	0	5
466.0	0	13	0	12
467.0	0	20	0	13
468.0	0	5	0	16
469.0	0	3	0	12
470.0	0	8	0	9
471.0	0	12	0	12
472.0	0	15	0	19
473.0	0	16	0	12
474.0	0	15	0	6
475.0	0	13	0	15
476.0	0	11	0	14
477.0	0	14	0	10
478.0	0	5	0	15
479.0	0	10	0	12
480.0	0	17	0	6
481.0	0	14	0	11
482.0	0	14	0	15
483.0	0	9	0	15
484.0	0	11	0	10
485.0	0	6	0	15
486.0	0	13	0	9
487.0	0	13	0	13
488.0	0	10	0	9
489.0	0	16	0	12
490.0	0	15	0	6
491.0	0	7	0	11
492.0	0	10	0	15
493.0	0	15	0	12
494.0	0	13	0	12
495.0	0	10	0	6
496.0	0	10	0	10
497.0	0	9	0	12
498.0	0	16	0	19
499.0	0	10	0	12
500.0	0	9	0	9
501.0	0	7	0	14
502.0	0	14	0	7
503.0	0	11	0	11
504.0	0	12	0	9
505.0	0	12	0	8
506.0	0	14	0	10
507.0	0	10	0	11
508.0	0	10	0	8
509.0	0	11	0	9
510.0	0	10	0	4
511.0	0	5	0	5
512.0	0	4	0	9
513.0	0	7	0	8
514.0	0	5	0	11
515.0	0	14	0	13
516.0	0	9	0	11
517.0	0	9	0	8
518.0	0	10	0	18
519.0	0	9	0	9
520.0	0	12	0	9
521.0	0	8	0	14
522.0	0	15	0	6
523.0	0	8	0	14
524.0	0	6	0	12
525.0	0	10	0	11
526.0	0	14	0	3
527.0	0	11	0	11
528.0	0	8	0	7
529.0	0	8	0	5
530.0	0	7	0	4
531.0	0	11	0	12
532.0	0	16	0	10
533.0	0	7	0	4
534.0	0	12	0	9
535.0	0	11	0	2
536.0	0	4	0	8
537.0	0	6	0	3
538.0	0	7	0	10
539.0	0	8	0	9
540.0	0	9	0	7
541.0	0	2	0	13
542.0	0	5	0	8
543.0	0	10	0	7
544.0	0	12	0	6
545.0	0	5	0	4
546.0	0	4	0	9
547.0	0	10	0	9
548.0	0	9	0	8
549.0	0	7	0	9
550.0	0	4	0	9
551.0	0	6	0	9
552.0	0	10	0	7
553.0	0	9	0	9
554.0	0	6	0	7
555.0	0	11	0	6
556.0	0	5	0	6
557.0	0	8	0	8
558.0	0	6	0	6
559.0	0	5	0	6
560.0	0	10	0	8
561.0	0	12	0	6
562.0	0	3	0	7
563.0	0	9	0	4
564.0	0	8	0	12
565.0	0	5	0	7
566.0	0	6	0	7
567.0	0	8	0	10
568.0	0	6	0	6
569.0	0	5	0	9
570.0	0	4	0	13
571.0	0	13	0	7
572.0	0	7	0	7
573.0	0	2	0	6
574.0	0	9	0	5
575.0	0	8	0	8
