## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D0_repl_2_no_tx_S39_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D0_repl_2_no_tx_S39_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D0_repl_2_no_tx_S39_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 03:33:12 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1785	50553121	18336377	0	1143	27665590	569964	0.547259	27232257

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
282.0	0	42	0	41
283.0	0	44	0	26
284.0	0	30	0	38
285.0	0	47	0	47
286.0	0	23	0	53
287.0	0	41	0	42
288.0	0	43	0	45
289.0	0	44	0	46
290.0	0	52	0	36
291.0	0	47	0	32
292.0	0	32	0	38
293.0	0	37	0	36
294.0	0	43	0	36
295.0	0	45	0	30
296.0	0	27	0	30
297.0	0	33	0	29
298.0	0	37	0	38
299.0	0	38	0	30
300.0	0	24	0	35
301.0	0	35	0	37
302.0	0	28	0	30
303.0	0	31	0	28
304.0	0	21	0	30
305.0	0	36	0	22
306.0	0	35	0	35
307.0	0	26	0	30
308.0	0	31	0	32
309.0	0	31	0	27
310.0	0	32	0	22
311.0	0	35	0	36
312.0	0	20	0	27
313.0	0	22	0	41
314.0	0	28	0	33
315.0	0	39	0	26
316.0	0	32	0	28
317.0	0	27	0	31
318.0	0	36	0	30
319.0	0	29	0	27
320.0	0	33	0	24
321.0	0	34	0	32
322.0	0	38	0	32
323.0	0	26	0	29
324.0	0	33	0	23
325.0	0	24	0	34
326.0	0	18	0	30
327.0	0	20	0	28
328.0	0	37	0	35
329.0	0	28	0	25
330.0	0	26	0	25
331.0	0	27	0	24
332.0	0	23	0	32
333.0	0	28	0	26
334.0	0	23	0	32
335.0	0	38	0	28
336.0	0	28	0	21
337.0	0	28	0	24
338.0	0	27	0	22
339.0	0	15	0	21
340.0	0	28	0	29
341.0	0	27	0	26
342.0	0	25	0	26
343.0	0	21	0	21
344.0	0	24	0	25
345.0	0	30	0	23
346.0	0	21	0	11
347.0	0	20	0	18
348.0	0	22	0	25
349.0	0	21	0	25
350.0	0	20	0	19
351.0	0	22	0	23
352.0	0	22	0	23
353.0	0	22	0	25
354.0	0	24	0	18
355.0	0	18	0	21
356.0	0	26	0	17
357.0	0	27	0	28
358.0	0	19	0	29
359.0	0	25	0	17
360.0	0	19	0	22
361.0	0	22	0	16
362.0	0	26	0	25
363.0	0	16	0	12
364.0	0	20	0	26
365.0	0	16	0	29
366.0	0	23	0	19
367.0	0	23	0	21
368.0	0	21	0	25
369.0	0	19	0	24
370.0	0	16	0	18
371.0	0	22	0	25
372.0	0	20	0	21
373.0	0	28	0	22
374.0	0	19	0	19
375.0	0	31	0	28
376.0	0	20	0	16
377.0	0	23	0	14
378.0	0	22	0	20
379.0	0	18	0	15
380.0	0	28	0	23
381.0	0	13	0	16
382.0	0	12	0	24
383.0	0	12	0	19
384.0	0	20	0	19
385.0	0	20	0	18
386.0	0	27	0	20
387.0	0	15	0	15
388.0	0	20	0	23
389.0	0	19	0	18
390.0	0	15	0	19
391.0	0	20	0	11
392.0	0	13	0	18
393.0	0	16	0	14
394.0	0	20	0	22
395.0	0	22	0	12
396.0	0	21	0	18
397.0	0	15	0	13
398.0	0	18	0	13
399.0	0	14	0	13
400.0	0	11	0	18
401.0	0	18	0	19
402.0	0	13	0	12
403.0	0	15	0	16
404.0	0	11	0	13
405.0	0	21	0	14
406.0	0	21	0	19
407.0	0	13	0	22
408.0	0	11	0	19
409.0	0	16	0	7
410.0	0	17	0	11
411.0	0	15	0	11
412.0	0	12	0	16
413.0	0	16	0	10
414.0	0	11	0	21
415.0	0	15	0	15
416.0	0	7	0	21
417.0	0	19	0	12
418.0	0	15	0	12
419.0	0	14	0	15
420.0	0	19	0	18
421.0	0	10	0	11
422.0	0	16	0	13
423.0	0	15	0	9
424.0	0	19	0	17
425.0	0	16	0	8
426.0	0	13	0	15
427.0	0	12	0	14
428.0	0	10	0	16
429.0	0	7	0	12
430.0	0	16	0	9
431.0	0	17	0	21
432.0	0	15	0	13
433.0	0	10	0	18
434.0	0	12	0	14
435.0	0	15	0	10
436.0	0	17	0	13
437.0	0	15	0	13
438.0	0	12	0	12
439.0	0	18	0	9
440.0	0	12	0	9
441.0	0	10	0	9
442.0	0	14	0	20
443.0	0	8	0	8
444.0	0	8	0	11
445.0	0	7	0	8
446.0	0	11	0	14
447.0	0	17	0	6
448.0	0	12	0	13
449.0	0	7	0	12
450.0	0	12	0	12
451.0	0	12	0	11
452.0	0	9	0	10
453.0	0	12	0	12
454.0	0	12	0	10
455.0	0	10	0	10
456.0	0	12	0	11
457.0	0	8	0	10
458.0	0	12	0	19
459.0	0	17	0	9
460.0	0	12	0	7
461.0	0	8	0	5
462.0	0	15	0	12
463.0	0	13	0	10
464.0	0	4	0	13
465.0	0	11	0	17
466.0	0	10	0	13
467.0	0	13	0	10
468.0	0	13	0	7
469.0	0	10	0	6
470.0	0	8	0	12
471.0	0	9	0	9
472.0	0	13	0	9
473.0	0	9	0	8
474.0	0	14	0	1
475.0	0	7	0	9
476.0	0	8	0	12
477.0	0	8	0	16
478.0	0	3	0	10
479.0	0	6	0	4
480.0	0	13	0	11
481.0	0	15	0	15
482.0	0	9	0	17
483.0	0	11	0	6
484.0	0	6	0	11
485.0	0	9	0	12
486.0	0	9	0	7
487.0	0	10	0	9
488.0	0	13	0	10
489.0	0	10	0	9
490.0	0	12	0	7
491.0	0	12	0	7
492.0	0	11	0	10
493.0	0	6	0	7
494.0	0	5	0	11
495.0	0	10	0	13
496.0	0	9	0	9
497.0	0	8	0	8
498.0	0	5	0	10
499.0	0	6	0	11
500.0	0	7	0	12
501.0	0	18	0	7
502.0	0	8	0	9
503.0	0	9	0	9
504.0	0	12	0	13
505.0	0	13	0	5
506.0	0	12	0	6
507.0	0	7	0	8
508.0	0	4	0	12
509.0	0	10	0	10
510.0	0	9	0	5
511.0	0	5	0	13
512.0	0	6	0	12
513.0	0	6	0	6
514.0	0	4	0	5
515.0	0	15	0	9
516.0	0	16	0	9
517.0	0	11	0	8
518.0	0	10	0	13
519.0	0	5	0	6
520.0	0	8	0	4
521.0	0	9	0	16
522.0	0	14	0	8
523.0	0	9	0	6
524.0	0	8	0	13
525.0	0	9	0	9
526.0	0	6	0	7
527.0	0	10	0	9
528.0	0	9	0	12
529.0	0	6	0	8
530.0	0	8	0	9
531.0	0	13	0	6
532.0	0	11	0	5
533.0	0	6	0	3
534.0	0	10	0	9
535.0	0	8	0	4
536.0	0	4	0	4
537.0	0	4	0	11
538.0	0	13	0	9
539.0	0	7	0	7
540.0	0	5	0	9
541.0	0	5	0	7
542.0	0	12	0	6
543.0	0	6	0	8
544.0	0	5	0	6
545.0	0	6	0	9
546.0	0	6	0	6
547.0	0	2	0	8
548.0	0	14	0	8
549.0	0	8	0	3
550.0	0	1	0	7
551.0	0	11	0	6
552.0	0	9	0	9
553.0	0	7	0	6
554.0	0	6	0	2
555.0	0	7	0	10
556.0	0	7	0	7
557.0	0	10	0	8
558.0	0	2	0	5
559.0	0	1	0	4
560.0	0	5	0	5
561.0	0	12	0	9
562.0	0	8	0	7
563.0	0	7	0	6
564.0	0	5	0	10
565.0	0	6	0	4
566.0	0	10	0	7
567.0	0	6	0	3
568.0	0	6	0	9
569.0	0	7	0	6
570.0	0	5	0	4
571.0	0	11	0	6
572.0	0	6	0	7
573.0	0	3	0	4
574.0	0	3	0	4
575.0	0	6	0	3
576.0	0	3	0	3
577.0	0	8	0	4
578.0	0	4	0	8
579.0	0	2	0	2
580.0	0	4	0	6
581.0	0	4	0	2
582.0	0	8	0	8
583.0	0	6	0	8
584.0	0	5	0	6
585.0	0	5	0	5
586.0	0	1	0	1
587.0	0	8	0	7
588.0	0	9	0	3
589.0	0	6	0	4
590.0	0	3	0	4
591.0	0	1	0	4
592.0	0	4	0	2
593.0	0	6	0	5
594.0	0	8	0	5
595.0	0	2	0	6
596.0	0	4	0	9
597.0	0	4	0	6
598.0	0	1	0	7
599.0	0	6	0	7
600.0	0	4	0	6
601.0	0	8	0	6
602.0	0	4	0	3
603.0	0	9	0	6
604.0	0	2	0	2
605.0	0	3	0	1
606.0	0	4	0	5
607.0	0	13	0	6
608.0	0	2	0	6
609.0	0	4	0	4
610.0	0	4	0	4
611.0	0	6	0	4
612.0	0	1	0	6
613.0	0	5	0	4
614.0	0	6	0	3
615.0	0	3	0	1
616.0	0	4	0	3
617.0	0	1	0	4
618.0	0	2	0	4
619.0	0	9	0	4
620.0	0	2	0	6
621.0	0	6	0	5
622.0	0	6	0	1
623.0	0	4	0	4
624.0	0	4	0	2
625.0	0	4	0	7
626.0	0	4	0	8
627.0	0	9	0	5
628.0	0	1	0	4
629.0	0	4	0	1
630.0	0	3	0	8
631.0	0	1	0	3
632.0	0	5	0	2
633.0	0	7	0	3
634.0	0	4	0	4
635.0	0	4	0	3
636.0	0	2	0	5
637.0	0	2	0	5
638.0	0	6	0	0
639.0	0	2	0	8
640.0	0	3	0	3
641.0	0	3	0	1
642.0	0	6	0	7
643.0	0	5	0	1
644.0	0	5	0	7
645.0	0	5	0	3
646.0	0	4	0	7
647.0	0	3	0	2
648.0	0	3	0	3
649.0	0	4	0	5
